,Year,Month,Day,Val1,Val2,Phase,Val3,Something
14890,2015,3,8,1.7528284,0.82395047,5,1.9368278,Prelim_value:_OLR_&_ACCESS_wind
14891,2015,3,9,1.7100351000000003,1.4357611000000001,5,2.2328525000000004,Prelim_value:_OLR_&_ACCESS_wind
14892,2015,3,10,1.333943,1.8083616000000002,6,2.2471261,Prelim_value:_OLR_&_ACCESS_wind
14893,2015,3,11,0.96627027,2.2758832,6,2.4725134,Prelim_value:_OLR_&_ACCESS_wind
14894,2015,3,12,0.60424489,2.8992925,6,2.9615891,Prelim_value:_OLR_&_ACCESS_wind
14895,2015,3,13,0.22158486,3.1228576,6,3.1307089,Prelim_value:_OLR_&_ACCESS_wind
14896,2015,3,14,-0.66001421,3.5025766000000003,7,3.5642195,Prelim_value:_OLR_&_ACCESS_wind
14897,2015,3,15,-1.7937695,3.6959082999999997,7,4.108204799999999,Prelim_value:_OLR_&_ACCESS_wind
14898,2015,3,16,-2.6172869,3.8091752999999997,7,4.6216888,Prelim_value:_OLR_&_ACCESS_wind
14899,2015,3,17,-2.8560686,3.3920233,7,4.4342928,Prelim_value:_OLR_&_ACCESS_wind
14900,2015,3,18,-2.8950012000000003,2.7614055,8,4.0007987,Prelim_value:_OLR_&_ACCESS_wind
14901,2015,3,19,-2.9012365,2.103801,8,3.5837343,Prelim_value:_OLR_&_ACCESS_wind
14902,2015,3,20,-2.8872112999999997,1.8482392,8,3.4281156000000004,Prelim_value:_OLR_&_ACCESS_wind
14903,2015,3,21,-2.5624602000000003,1.418152,8,2.9287126,Prelim_value:_OLR_&_ACCESS_wind
14904,2015,3,22,-2.3257727999999998,1.0147262,8,2.5374963,Prelim_value:_OLR_&_ACCESS_wind
14905,2015,3,23,-2.1556461,0.63342023,8,2.2467825,Prelim_value:_OLR_&_ACCESS_wind
14906,2015,3,24,-2.0975482000000003,0.20373142,8,2.1074189999999997,Prelim_value:_OLR_&_ACCESS_wind
14907,2015,3,25,-2.0745523,-0.39781955,1,2.1123512000000004,Prelim_value:_OLR_&_ACCESS_wind
14908,2015,3,26,-1.6413448,-0.80532545,1,1.8282675,Prelim_value:_OLR_&_ACCESS_wind
14909,2015,3,27,-1.3713776000000002,-1.0599266999999999,1,1.7332401000000002,Prelim_value:_OLR_&_ACCESS_wind
14910,2015,3,28,-1.0046349,-1.3862436000000002,2,1.7120054,Prelim_value:_OLR_&_ACCESS_wind
14911,2015,3,29,-0.98618025,-1.7864571,2,2.0405834,Prelim_value:_OLR_&_ACCESS_wind
14912,2015,3,30,-0.62345618,-2.1135892999999997,2,2.2036238,Prelim_value:_OLR_&_ACCESS_wind
14913,2015,3,31,0.0362,-2.134562,3,2.1348693,Prelim_value:_OLR_&_ACCESS_wind
14914,2015,4,1,0.38885254,-1.9976838,3,2.0351772,Prelim_value:_OLR_&_ACCESS_wind
14915,2015,4,2,0.83170402,-1.7038935000000002,3,1.8960446,Prelim_value:_OLR_&_ACCESS_wind
14916,2015,4,3,1.1871555,-1.4324627,3,1.8604536,Prelim_value:_OLR_&_ACCESS_wind
14917,2015,4,4,1.4090664,-1.2270324,4,1.8684424,Prelim_value:_OLR_&_ACCESS_wind
14918,2015,4,5,1.5768081,-1.4263217,4,2.1261978,Prelim_value:_OLR_&_ACCESS_wind
14919,2015,4,6,1.5979413999999998,-1.3344445,4,2.0818644,Prelim_value:_OLR_&_ACCESS_wind
14920,2015,4,7,1.4246746000000001,-1.1677699,4,1.8421140999999999,Prelim_value:_OLR_&_ACCESS_wind
14921,2015,4,8,1.0119128000000002,-1.0517536,3,1.4595045,Prelim_value:_OLR_&_ACCESS_wind
14922,2015,4,9,0.7859804,-0.99527693,3,1.268204,Prelim_value:_OLR_&_ACCESS_wind
14923,2015,4,10,0.43800783,-0.77015948,3,0.88600028,Prelim_value:_OLR_&_ACCESS_wind
14924,2015,4,11,0.26883322,-0.71189201,3,0.76096094,Prelim_value:_OLR_&_ACCESS_wind
14925,2015,4,12,0.11507479,-0.60554749,3,0.61638463,Prelim_value:_OLR_&_ACCESS_wind
14926,2015,4,13,0.22749245,-0.5123359000000001,3,0.56057191,Prelim_value:_OLR_&_ACCESS_wind
14927,2015,4,14,-0.0503,-0.83896208,2,0.84046614,Prelim_value:_OLR_&_ACCESS_wind
14928,2015,4,15,-0.35843235,-0.92573601,2,0.99270386,Prelim_value:_OLR_&_ACCESS_wind
14929,2015,4,16,-0.29549554,-0.83650166,2,0.88715988,Prelim_value:_OLR_&_ACCESS_wind
14930,2015,4,17,0.25300622,-1.1244214,3,1.1525344,Prelim_value:_OLR_&_ACCESS_wind
14931,2015,4,18,0.45985809,-1.1511173000000001,3,1.2395728000000001,Prelim_value:_OLR_&_ACCESS_wind
14932,2015,4,19,0.46122113,-1.1776181000000001,3,1.2647171,Prelim_value:_OLR_&_ACCESS_wind
14933,2015,4,20,0.43999001,-0.92710942,3,1.0262178,Prelim_value:_OLR_&_ACCESS_wind
14934,2015,4,21,0.52803326,-0.56772858,3,0.77532887,Prelim_value:_OLR_&_ACCESS_wind
14935,2015,4,22,0.55895835,-0.46315324,4,0.72591001,Prelim_value:_OLR_&_ACCESS_wind
14936,2015,4,23,0.43643972,-0.33762246,4,0.55178672,Prelim_value:_OLR_&_ACCESS_wind
14937,2015,4,24,0.51036125,-0.14136572,4,0.52957803,Prelim_value:_OLR_&_ACCESS_wind
14938,2015,4,25,0.64535749,-0.0495,4,0.64725423,Prelim_value:_OLR_&_ACCESS_wind
14939,2015,4,26,0.20464413,0.0833,5,0.22095869,Prelim_value:_OLR_&_ACCESS_wind
14940,2015,4,27,0.063,0.26993302,6,0.27718681,Prelim_value:_OLR_&_ACCESS_wind
14941,2015,4,28,-0.22158106,0.41562662,7,0.47100282,Prelim_value:_OLR_&_ACCESS_wind
14942,2015,4,29,-0.0895,0.22704983,7,0.24405527,Prelim_value:_OLR_&_ACCESS_wind
14943,2015,4,30,-0.035,0.13559277,7,0.14004892,Prelim_value:_OLR_&_ACCESS_wind
14944,2015,5,1,0.20744643,0.1777755,5,0.27319983,Prelim_value:_OLR_&_ACCESS_wind
14945,2015,5,2,0.36502555,0.14744279,5,0.39367884,Prelim_value:_OLR_&_ACCESS_wind
14946,2015,5,3,0.27593535,0.38025716,6,0.46982529999999995,Prelim_value:_OLR_&_ACCESS_wind
14947,2015,5,4,0.12039936,0.6077159000000001,6,0.61952776,Prelim_value:_OLR_&_ACCESS_wind
14948,2015,5,5,0.23830052,0.28022742,6,0.36785126,Prelim_value:_OLR_&_ACCESS_wind
14949,2015,5,6,0.33696073,0.0784,5,0.34596866,Prelim_value:_OLR_&_ACCESS_wind
14950,2015,5,7,0.44023189,0.0337,5,0.44151872,Prelim_value:_OLR_&_ACCESS_wind
14951,2015,5,8,0.63618904,0.0597,5,0.63897973,Prelim_value:_OLR_&_ACCESS_wind
14952,2015,5,9,0.8493163,0.40683609,5,0.94172913,Prelim_value:_OLR_&_ACCESS_wind
14953,2015,5,10,0.83595765,0.50888318,5,0.97866607,Prelim_value:_OLR_&_ACCESS_wind
14954,2015,5,11,0.54739183,0.68042994,6,0.87328273,Prelim_value:_OLR_&_ACCESS_wind
