,WT,AO,NAO,PNA,NINO
292,1,0.672,0.86,0.5870000000000001,1.39
293,1,1.2919999999999998,0.915,0.973,1.39
294,1,1.8530000000000002,1.078,1.3319999999999999,1.39
295,1,1.3030000000000002,0.6809999999999999,1.751,1.39
296,1,0.05,0.426,1.8719999999999999,1.39
297,2,-0.5,0.6859999999999999,2.075,1.39
298,2,-0.16399999999999998,0.48,2.0669999999999997,1.39
299,1,0.075,0.05,2.046,1.39
300,1,-0.39399999999999996,0.075,2.3609999999999998,1.39
301,6,-0.433,0.109,2.106,1.39
302,6,-0.22699999999999998,0.012,1.136,1.39
303,1,-0.05,0.316,-0.539,1.95
304,2,-0.048,0.595,-0.9570000000000001,1.95
305,6,-0.265,0.7609999999999999,-1.369,1.95
306,1,-0.915,0.436,-0.956,1.95
307,6,-1.7730000000000001,-0.10099999999999999,-0.256,1.95
308,6,-1.671,-0.081,0.275,1.95
309,6,-1.38,-0.371,0.555,1.95
310,1,-1.3980000000000001,-0.904,1.0759999999999998,1.95
311,2,-1.8119999999999998,-1.276,1.4780000000000002,1.95
312,2,-1.838,-1.229,1.5490000000000002,1.95
313,2,-1.587,-1.167,1.3519999999999999,1.95
314,2,-0.856,-1.133,0.8590000000000001,1.95
315,5,-0.45299999999999996,-0.972,0.07200000000000001,1.95
316,3,-0.22899999999999998,-0.672,-0.636,1.95
317,3,-0.654,-0.773,-0.929,1.95
318,3,-0.963,-0.887,-1.026,1.95
319,4,-0.745,-0.6990000000000001,-1.4480000000000002,1.95
320,7,0.013999999999999999,-0.084,-1.645,1.95
321,6,1.337,0.597,-2.1069999999999998,1.95
322,5,1.932,0.5539999999999999,-2.312,1.95
323,1,1.382,0.071,-1.682,1.95
324,7,0.51,-0.011000000000000001,-0.9059999999999999,1.95
325,7,0.6729999999999999,0.022000000000000002,-0.32899999999999996,1.95
326,2,1.1420000000000001,-0.14400000000000002,-0.001,1.95
327,2,1.058,-0.428,-0.075,1.95
328,2,0.7809999999999999,-0.475,-0.256,1.95
329,2,0.563,-0.43200000000000005,-0.424,1.95
330,7,-0.113,-0.284,-0.38799999999999996,1.95
331,6,-0.083,0.055999999999999994,-0.42200000000000004,1.95
332,5,0.366,0.354,-0.532,1.95
333,7,0.764,0.39,-0.511,1.95
334,1,1.3419999999999999,0.447,-0.315,2.16
335,5,1.16,0.35700000000000004,0.01,2.16
336,5,0.272,-0.05,0.42200000000000004,2.16
337,5,0.304,-0.313,0.539,2.16
338,3,0.807,-0.094,0.225,2.16
339,4,0.068,0.155,-0.354,2.16
340,7,-0.495,0.588,-0.6940000000000001,2.16
341,7,0.457,0.865,-0.725,2.16
342,7,1.765,1.1520000000000001,-0.562,2.16
343,7,2.622,1.4609999999999999,-0.593,2.16
344,7,2.252,1.548,-0.731,2.16
345,5,1.5430000000000001,1.534,-0.6890000000000001,2.16
346,3,1.724,1.229,-0.809,2.16
347,7,1.912,0.958,-0.747,2.16
348,7,2.4459999999999997,1.48,-0.563,2.16
349,7,2.0780000000000003,1.495,-0.342,2.16
350,7,1.032,1.1520000000000001,-0.259,2.16
351,7,0.501,1.024,-0.19699999999999998,2.16
352,6,0.433,0.611,-0.191,2.16
353,6,0.27899999999999997,0.406,-0.18600000000000003,2.16
354,6,-0.11800000000000001,0.513,-0.215,2.16
355,2,-0.534,0.613,-0.25,2.16
356,2,-0.5660000000000001,0.8029999999999999,-0.38799999999999996,2.16
357,4,-0.9670000000000001,0.754,-0.275,2.16
358,7,-1.506,0.679,0.096,2.16
359,7,-0.733,1.046,0.405,2.16
360,7,-0.486,1.153,0.537,2.16
361,7,-0.266,0.9740000000000001,0.40700000000000003,2.16
362,5,0.523,1.06,0.10099999999999999,2.16
363,7,1.271,1.395,-0.35,2.16
364,1,0.6459999999999999,0.525,-0.8079999999999999,-0.28
365,1,1.25,0.33899999999999997,-0.9079999999999999,-0.28
366,1,1.73,0.043,-1.025,-0.28
367,1,1.8530000000000002,-0.11199999999999999,-1.304,-0.28
368,1,1.405,-0.41700000000000004,-1.422,-0.28
369,1,0.71,-0.898,-1.557,-0.28
370,1,0.242,-1.102,-1.5859999999999999,-0.28
371,1,-0.36,-1.483,-1.6380000000000001,-0.28
372,6,-0.7440000000000001,-1.5830000000000002,-1.504,-0.28
373,1,-0.5489999999999999,-1.212,-1.445,-0.28
374,1,-0.193,-0.718,-1.485,-0.28
375,1,-0.113,-0.365,-1.305,-0.28
376,1,0.034,-0.522,-1.4180000000000001,-0.28
377,2,0.342,-0.9279999999999999,-1.406,-0.28
378,2,0.491,-1.301,-1.444,-0.28
379,6,0.23600000000000002,-1.3630000000000002,-1.4080000000000001,-0.28
380,1,0.311,-1.077,-1.103,-0.28
381,1,0.47600000000000003,-0.855,-0.81,-0.28
382,6,0.597,-0.447,-0.937,-0.28
383,6,0.705,-0.078,-1.084,-0.28
384,5,0.35100000000000003,-0.19,-0.8759999999999999,-0.28
385,3,-0.263,-0.389,-0.65,-0.28
386,1,-0.253,-0.028999999999999998,-0.455,-0.28
387,7,0.591,0.5329999999999999,0.26899999999999996,-0.28
388,6,1.005,0.179,1.003,-0.28
389,6,0.633,-0.040999999999999995,0.81,-0.28
390,2,-0.258,-0.23399999999999999,0.095,-0.28
391,2,-1.456,-0.64,0.11699999999999999,-0.28
392,2,-2.37,-0.934,1.1,-0.28
393,6,-2.2230000000000003,-1.063,1.514,-0.28
394,6,-1.0759999999999998,-0.752,-0.966,-0.82
395,1,0.27899999999999997,-0.434,-1.396,-0.82
396,1,1.294,-0.044000000000000004,-1.7380000000000002,-0.82
397,1,1.511,0.315,-2.1519999999999997,-0.82
398,5,2.244,0.313,-2.465,-0.82
